Vincent;r1551249;2015-11-26 12:16:06 +0000 (Thu, 26 Nov 2015);5;['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'contact-sync enabled.', '', ''];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/booleans.xml']
Vincent;r1551248;2015-11-26 12:15:26 +0000 (Thu, 26 Nov 2015);5;['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'reverted --> actionbar color & background', '', ''];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/colors.xml']
Thomas;r1551105;2015-11-26 09:17:08 +0000 (Thu, 26 Nov 2015);1;['FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.'];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gcm/GcmNotificationCreator.java']
Vincent;r1551061;2015-11-26 07:33:33 +0000 (Thu, 26 Nov 2015);3;['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'actionbar color & background'];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/colors.xml']
Thomas;r1550863;2015-11-25 16:42:06 +0000 (Wed, 25 Nov 2015);1;["Changed cloudsdkVersion to '1.0.22.10'"];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle']
Thomas;r1550724;2015-11-25 14:17:42 +0000 (Wed, 25 Nov 2015);1;['Changed jira url to https'];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle']
Thomas;r1550591;2015-11-25 11:29:15 +0000 (Wed, 25 Nov 2015);3;['Reverted back:', 'FTRPC-500: Frontier Android || Inconsistencey in My Activity screen', 'Client used systemAttribute name="Creation-Date" instead of versionCreated as version created.'];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/util/sync/dv/SyncAdapter.java']
Thomas;r1550580;2015-11-25 11:15:27 +0000 (Wed, 25 Nov 2015);1;['Updated splashscreen to re use grphc_pcloud_logo image instead of splash_logo'];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-hdpi/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-hdpi/splash_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-hdpi/title_brand.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-ldpi/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-mdpi/grphc_pcloud_logo.png', 'A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/splash_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/title_brand.png', 'A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp-mdpi/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp-mdpi/splash_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xhdpi/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xhdpi/grphc_powered_sncr.png', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxhdpi/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxhdpi/splash_logo.png', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxxhdpi/grphc_pcloud_logo.png', 'D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxxhdpi/splash_logo.png', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/layout/splashscreen.xml']
Thomas;r1550503;2015-11-25 09:26:22 +0000 (Wed, 25 Nov 2015);1;['Changed splash screen as requested'];['Changed paths:', 'A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/splash_logo.png (from /cloud/personal/client-international/android/branches/android-15.2-solutions_ux/clients/client-frt/res/drawable-sw600dp-mdpi/splash_logo.png:1550100)', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/layout/splashscreen.xml', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/values/colors.xml']
Vincent;r1550097;2015-11-24 14:41:53 +0000 (Tue, 24 Nov 2015);3;['SFR-108 : Create bilingual French/English translated Android application for SFR', '-----------', 'three dots. "..."'];['Changed paths:', 'M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values-fr/strings.xml']
